"","Age","HHsize","ShareOfRice","ShareOfMaize","FarmSize_Ha","TLU","PercentHired","HouseholdCommercializationIndex","TotExpFertPestPerHa","PercentOfOffFarmIncome","dswet","ShareOfVeg","PerCapitaIncome","TotalLaborManDaysPerHaPerYear","clust","hhid"
"1",45,5,80,20,1.71991550922394,0.0500000007450581,4.34782600402832,19.4617881774902,34885.43359375,0,25,0,396.074249267578,200.591247558594,"Mono-crop Rice Producers",750
"2",59,4,42.8571434020996,50,1.21405804157257,0.0700000002980232,27.4509811401367,35.4257774353027,0,7.87985134124756,10,7.14285707473755,317.264862060547,252.047256469727,"Diversifier",751
"3",49,4,100,0,2.12460160255432,0.119999997317791,33.3333320617676,37.4978256225586,30593.970703125,33.4515647888184,25,0,672.6142578125,146.851058959961,"Mono-crop Rice Producers",752
"4",55,6,0,23.0769233703613,4.85623216629028,0.0799999982118607,14.072847366333,65.1800994873047,15444.072265625,0,5,76.9230804443359,391.833343505859,124.376258850098,"Diversifier",753
"5",46,5,88.8888854980469,0,0.910543501377106,0,43.8260879516602,33.3333358764648,43929.80859375,0,5,11.1111106872559,903.119995117188,631.490966796875,"Mono-crop Rice Producers",754
"6",32,2,100,0,0.910543501377106,0,54.5454559326172,47.0746459960938,0,0,5,0,391.285705566406,422.824401855469,"Mono-crop Rice Producers",755
"7",48,4,55.5555572509766,44.4444427490234,1.92225849628448,0.0299999993294477,0.13351134955883,68.5924377441406,0,0,3,0,99.5,389.645812988281,"Diversifier",756
"8",55,5,66.6666641235352,33.3333320617676,2.93397355079651,0.119999997317791,59.2991905212402,56.4102554321289,20450.08203125,0,14,0,499.5,379.349029541016,"Diversifier",757
"9",38,4,100,0,1.01171505451202,0,52.1897811889648,50,79073.6484375,0,1,0,130.125,270.827239990234,"Mono-crop Rice Producers",758
"10",46,4,47.0588226318359,23.529411315918,2.02343010902405,1.70000004768372,96.6101684570312,63.4703178405762,12849.4677734375,67.6183319091797,0.5,29.4117641448975,1331,87.4752197265625,"Diversifier",759
"11",55,4,70.5882339477539,17.6470584869385,3.43983101844788,0.0900000035762787,76.7195739746094,71.4986267089844,44188.21875,7.9674220085144,0,11.764705657959,627.555541992188,439.556488037109,"Mono-crop Rice Producers",760
"12",55,4,50,25,4.85623216629028,0.100000001490116,31.0461196899414,49.109790802002,17297.361328125,0,1,12.5,141.5,183.063735961914,"Diversifier",761
"13",47,4,47.0588226318359,11.764705657959,0.910543501377106,0.0700000002980232,87.75,84.6851959228516,98842.0625,2.9069766998291,2,41.1764717102051,860,439.298065185547,"Diversifier",762
"14",53,6,40,30,2.42811608314514,0.5,0.0834028348326683,12.4468021392822,51068.3984375,0,3,20,200.376174926758,493.798461914062,"Diversifier",763
"15",61,8,57.1428565979004,42.8571434020996,2.83280205726624,0.0700000002980232,1.68067228794098,0,0,76.6061553955078,10,0,110.957138061523,84.015754699707,"Diversifier",764
"16",32,4,100,0,4.24920320510864,0.0500000007450581,34.1176452636719,80,33888.70703125,0,10,0,1039.75,220.041259765625,"Mono-crop Rice Producers",765
"17",39,8,90,10,4.14803171157837,0,3.04955530166626,79.4518280029297,14464.69140625,0,10,0,371.035705566406,189.728546142578,"Mono-crop Rice Producers",766
"18",42,7,100,0,4.65388917922974,0.100000001490116,87.6288681030273,0,17189.923828125,13.8236103057861,3,0,1550.14282226562,104.213912963867,"Mono-crop Rice Producers",767
"19",37,6,52.1739120483398,47.8260879516602,1.21405804157257,0.200000002980232,7.5353217124939,97.3123245239258,247105.15625,0,3,0,382.428588867188,327.929138183594,"Diversifier",768
"20",26,4,100,0,0.202343001961708,1.20000004768372,96.9230804443359,83.3333358764648,518920.84375,0,2,0,1716.25,321.236694335938,"Mono-crop Rice Producers",769
"21",41,4,100,0,3.64217400550842,0.200000002980232,52.4271850585938,49.7716903686523,41184.1953125,0,25,0,335.25,56.559627532959,"Mono-crop Rice Producers",770
"22",62,4,66.6666641235352,33.3333320617676,3.84451699256897,13.5299997329712,0,59.4227523803711,13525.755859375,0,6,0,887.507141113281,362.594299316406,"Diversifier",771
"23",26,3,100,0,2.02343010902405,2.04999995231628,55,66.6666641235352,35583.140625,0,6,0,1227.33337402344,148.263092041016,"Mono-crop Rice Producers",772
"24",41,8,90.9090881347656,9.09090900421143,8.49840641021729,7.17000007629395,38.6503067016602,2.09951710700989,0,0,11,0,906.525024414062,57.5401992797852,"Agro-Pastoralist",773
"25",27,4,66.6666641235352,33.3333320617676,1.21399998664856,0.0500000007450581,0,62.6611061096191,8237.232421875,52.9792442321777,0.5,0,283.129760742188,197.693572998047,"Diversifier",774
"26",26,2,95.2380981445312,0,1.01171505451202,0,0.284900277853012,100,0,0,0.200000002980232,0,224,346.935638427734,"Mono-crop Rice Producers",775
"27",63,4,50,50,5.05857515335083,0.159999996423721,50.7462692260742,22.8112716674805,0,0,20,0,129.879760742188,79.4690170288086,"Diversifier",776
"28",34,5,66.6666641235352,33.3333320617676,6.07029008865356,2.34999990463257,0.243902444839478,62.0402374267578,0,0,5,0,208.571441650391,135.08415222168,"Diversifier",777
"29",39,7,0,100,0.809372007846832,2.5,0,0,0,0,20,0,228.700073242188,376.989807128906,"Diversifier",778
"30",38,5,66.6666641235352,26.6666660308838,12.1405801773071,0.5,68.4782638549805,33.673469543457,1976.84130859375,95.8721694946289,1,0,450.600006103516,15.155782699585,"Agro-Pastoralist",779
"31",47,6,92.3076934814453,0,4.14803171157837,0.170000001788139,61.1464958190918,83.3333358764648,5785.87646484375,6.29590749740601,1,0,317.666656494141,28.3869571685791,"Mono-crop Rice Producers",780
"32",38,6,66.6666641235352,33.3333320617676,7.28434801101685,0.200000002980232,4.20420408248901,26.7759571075439,11668.8544921875,0,18,0,260.833343505859,91.4289093017578,"Diversifier",781
"33",35,5,50,50,3.64217400550842,0,75.5439529418945,49.6031761169434,19219.291015625,11.0709447860718,3,0,442.600006103516,315.470916748047,"Diversifier",782
"34",37,2,100,0,0.708200514316559,0.100000001490116,70.0934600830078,64.0087814331055,42360.8828125,0,3,0,360.299987792969,453.261474609375,"Mono-crop Rice Producers",783
"35",62,3,80,20,10.1171503067017,0.0299999993294477,87.9218444824219,11.0497236251831,2372.20947265625,0,3,0,758.333312988281,55.6480827331543,"Mono-crop Rice Producers",784
"36",45,6,50,50,1.61874401569366,0.5,0.113765642046928,33.0341720581055,0,0,3,0,202.749557495117,543.013610839844,"Diversifier",785
"37",42,7,38.461540222168,61.538459777832,2.83280205726624,0.150000005960464,0,4.52254819869995,8472.1767578125,24.0421562194824,3,0,260.257141113281,186.387893676758,"Diversifier",786
"38",37,6,100,0,0.910543501377106,0.0399999991059303,1.83486235141754,75,26357.884765625,0,3,0,120.666664123535,359.126159667969,"Mono-crop Rice Producers",787
"39",53,10,47.0588226318359,52.9411773681641,3.64217400550842,2.29999995231628,4.61538457870483,16.6098804473877,10982.4521484375,0,3,0,533.799987792969,160.618362426758,"Diversifier",788
"40",36,3,80,20,0.404686003923416,0.170000001788139,85.2713165283203,36.7458877563477,457144.5625,0,3,0,34.9333343505859,956.296997070312,"Mono-crop Rice Producers",789
"41",48,3,78.5714263916016,21.4285717010498,4.65388917922974,0.200000002980232,91.6167678833008,4.21052646636963,23636.14453125,0.856347680091858,3,0,1557,430.607574462891,"Mono-crop Rice Producers",790
