lng;lat;Name;TotPop2012;NoFHH12_2;NoHH2012
36,39621436;-8,153943371;Idete;21648;3530;4706
36,67945655;-8,137528526;Ifakara;55956;4685;13013
36,50448956;-8,549656201;Iragua;17806;2343;3123
36,68903714;-8,090010642;Kibaoni;28869;4707;6275
36,86559116;-7,941819246;Kiberage;22312;3892;5188
36,66691211;-8,14158279;Lumelo;21599;2468;5142
36,66925697;-8,388960041;Lupiro;16328;2606;3474
36,25900383;-8,193304209;Mbingu;22717;4057;5408
36,12234513;-8,322258965;Mchombe;38651;6442;8589
36,68195559;-8,269282694;Minepa;16267;1697;3536
36,33958133;-8,291035065;Mofu;11722;1794;2392
